Local Authority,Library,Month,Type,Loans
Cambridgeshire,Rock Road Library,2020-01,Adult fiction hardback,44
Cambridgeshire,Rock Road Library,2020-01,Adult fiction large print hardback,4
Cambridgeshire,Rock Road Library,2020-01,Adult fiction large print paperback,5
Cambridgeshire,Rock Road Library,2020-01,Adult fiction paperback,91
Cambridgeshire,Rock Road Library,2020-01,Adult non fiction hardback,24
Cambridgeshire,Rock Road Library,2020-01,Adult non fiction large print hardback,1
Cambridgeshire,Rock Road Library,2020-01,Adult non fiction paperback,23
Cambridgeshire,Rock Road Library,2020-01,Adult non-fiction,3
Cambridgeshire,Rock Road Library,2020-01,Adult spoken word CD set,9
Cambridgeshire,Rock Road Library,2020-01,Children's fiction,4
Cambridgeshire,Rock Road Library,2020-01,Children's non-fiction,1
Cambridgeshire,Rock Road Library,2020-01,Children's spoken word CD set,6
Cambridgeshire,Rock Road Library,2020-01,DVD: 12,1
Cambridgeshire,Rock Road Library,2020-01,DVD: U,2
Cambridgeshire,Rock Road Library,2020-01,Junior fiction,244
Cambridgeshire,Rock Road Library,2020-01,Junior non-fiction,68
Cambridgeshire,Rock Road Library,2020-01,Picture Book,2
Cambridgeshire,Rock Road Library,2020-01,Quick Pick fiction,1
Cambridgeshire,Rock Road Library,2020-01,Teenage,14
Cambridgeshire,Rock Road Library,2020-01,Young adult,6
Cambridgeshire,Rock Road Library,2020-01,Young adult plus,1
Cambridgeshire,Sawston Library,2019-12,Adult fiction,1
Cambridgeshire,Sawston Library,2019-12,Adult fiction hardback,18
Cambridgeshire,Sawston Library,2019-12,Adult fiction large print hardback,2
Cambridgeshire,Sawston Library,2019-12,Adult fiction paperback,47
Cambridgeshire,Sawston Library,2019-12,Adult non fiction hardback,7
Cambridgeshire,Sawston Library,2019-12,Adult non fiction paperback,16
Cambridgeshire,Sawston Library,2019-12,Adult spoken word CD,1
Cambridgeshire,Sawston Library,2019-12,Children's spoken word CD set,1
Cambridgeshire,Sawston Library,2019-12,Junior fiction,109
Cambridgeshire,Sawston Library,2019-12,Junior non-fiction,9
Cambridgeshire,Sawston Library,2019-12,Picture Book,2
Cambridgeshire,Sawston Library,2019-12,Quick Pick fiction,2
Cambridgeshire,Sawston Library,2020-01,Adult fiction,4
Cambridgeshire,Sawston Library,2020-01,Adult fiction hardback,20
Cambridgeshire,Sawston Library,2020-01,Adult fiction large print hardback,4
Cambridgeshire,Sawston Library,2020-01,Adult fiction large print paperback,6
Cambridgeshire,Sawston Library,2020-01,Adult fiction paperback,42
Cambridgeshire,Sawston Library,2020-01,Adult non fiction hardback,6
Cambridgeshire,Sawston Library,2020-01,Adult non fiction large print hardback,1
Cambridgeshire,Sawston Library,2020-01,Adult non fiction large print paperback,2
Cambridgeshire,Sawston Library,2020-01,Adult non fiction paperback,20
Cambridgeshire,Sawston Library,2020-01,Adult non-fiction,1
Cambridgeshire,Sawston Library,2020-01,Adult spoken word CD,2
Cambridgeshire,Sawston Library,2020-01,Adult spoken word CD set,7
Cambridgeshire,Sawston Library,2020-01,Children's spoken word cassette set,1
Cambridgeshire,Sawston Library,2020-01,Children's spoken word CD set,8
Cambridgeshire,Sawston Library,2020-01,Junior fiction,255
Cambridgeshire,Sawston Library,2020-01,Junior non-fiction,39
Cambridgeshire,Sawston Library,2020-01,Picture Book,1
Cambridgeshire,Sawston Library,2020-01,Quick Pick fiction,1
Cambridgeshire,Sawston Library,2020-01,Teenage,14
Cambridgeshire,Sawston Library,2020-01,Young adult,9
Cambridgeshire,Sawston Library,2020-01,Young adult plus,4
Cambridgeshire,Sawtry Library,2019-12,Adult fiction,2
Cambridgeshire,Sawtry Library,2019-12,Adult fiction hardback,15
Cambridgeshire,Sawtry Library,2019-12,Adult fiction large print hardback,1
Cambridgeshire,Sawtry Library,2019-12,Adult fiction paperback,41
Cambridgeshire,Sawtry Library,2019-12,Adult non fiction hardback,2
Cambridgeshire,Sawtry Library,2019-12,Adult non fiction large print hardback,1
Cambridgeshire,Sawtry Library,2019-12,Adult non fiction paperback,9
Cambridgeshire,Sawtry Library,2019-12,Adult non-fiction,1
Cambridgeshire,Sawtry Library,2019-12,Adult spoken word CD set,1
Cambridgeshire,Sawtry Library,2019-12,Children's fiction,2
Cambridgeshire,Sawtry Library,2019-12,Children's non-fiction,2
Cambridgeshire,Sawtry Library,2019-12,Inter-library loan,1
Cambridgeshire,Sawtry Library,2019-12,Junior fiction,39
Cambridgeshire,Sawtry Library,2019-12,Junior non-fiction,8
Cambridgeshire,Sawtry Library,2019-12,Quick Pick fiction,2
Cambridgeshire,Sawtry Library,2019-12,Teenage,1
Cambridgeshire,Sawtry Library,2019-12,Young adult,1
Cambridgeshire,Sawtry Library,2020-01,Adult fiction,6
Cambridgeshire,Sawtry Library,2020-01,Adult fiction hardback,22
Cambridgeshire,Sawtry Library,2020-01,Adult fiction large print hardback,2
Cambridgeshire,Sawtry Library,2020-01,Adult fiction large print paperback,1
Cambridgeshire,Sawtry Library,2020-01,Adult fiction paperback,42
Cambridgeshire,Sawtry Library,2020-01,Adult non fiction hardback,5
Cambridgeshire,Sawtry Library,2020-01,Adult non fiction paperback,7
Cambridgeshire,Sawtry Library,2020-01,Adult non-fiction,3
Cambridgeshire,Sawtry Library,2020-01,Children's fiction,2
Cambridgeshire,Sawtry Library,2020-01,Junior fiction,47
Cambridgeshire,Sawtry Library,2020-01,Junior non-fiction,11
Cambridgeshire,Sawtry Library,2020-01,Teenage,1
Cambridgeshire,Soham Library,2019-12,Adult fiction,3
Cambridgeshire,Soham Library,2019-12,Adult fiction hardback,15
Cambridgeshire,Soham Library,2019-12,Adult fiction large print hardback,1
Cambridgeshire,Soham Library,2019-12,Adult fiction paperback,53
Cambridgeshire,Soham Library,2019-12,Adult non fiction hardback,12
Cambridgeshire,Soham Library,2019-12,Adult non fiction paperback,12
Cambridgeshire,Soham Library,2019-12,Children's non-fiction,2
Cambridgeshire,Soham Library,2019-12,Junior fiction,94
Cambridgeshire,Soham Library,2019-12,Junior non-fiction,19
Cambridgeshire,Soham Library,2019-12,Map,1
Cambridgeshire,Soham Library,2019-12,Picture Book,2
Cambridgeshire,Soham Library,2019-12,Quick Pick fiction,5
Cambridgeshire,Soham Library,2019-12,Teenage,4
Cambridgeshire,Soham Library,2019-12,Young adult plus,1
Cambridgeshire,Soham Library,2020-01,Adult fiction,5
Cambridgeshire,Soham Library,2020-01,Adult fiction hardback,30
Cambridgeshire,Soham Library,2020-01,Adult fiction large print hardback,3
Cambridgeshire,Soham Library,2020-01,Adult fiction large print paperback,1
Cambridgeshire,Soham Library,2020-01,Adult fiction paperback,69
Cambridgeshire,Soham Library,2020-01,Adult non fiction hardback,8
Cambridgeshire,Soham Library,2020-01,Adult non fiction large print hardback,3
Cambridgeshire,Soham Library,2020-01,Adult non fiction paperback,15
Cambridgeshire,Soham Library,2020-01,Children's non-fiction,2
Cambridgeshire,Soham Library,2020-01,Children's spoken word CD set,1
Cambridgeshire,Soham Library,2020-01,DVD: 15,2
Cambridgeshire,Soham Library,2020-01,Junior fiction,102
Cambridgeshire,Soham Library,2020-01,Junior non-fiction,22
Cambridgeshire,Soham Library,2020-01,Picture Book,1
Cambridgeshire,Soham Library,2020-01,Quick Pick fiction,6
Cambridgeshire,Somersham Library Access Point,2019-12,Adult fiction hardback,3
Cambridgeshire,Somersham Library Access Point,2019-12,Adult fiction paperback,14
Cambridgeshire,Somersham Library Access Point,2019-12,Junior fiction,23
Cambridgeshire,Somersham Library Access Point,2019-12,Junior non-fiction,5
Cambridgeshire,Somersham Library Access Point,2019-12,Picture Book,1
Cambridgeshire,Somersham Library Access Point,2019-12,Young adult plus,3
Cambridgeshire,Somersham Library Access Point,2020-01,Adult fiction,1
Cambridgeshire,Somersham Library Access Point,2020-01,Adult fiction hardback,10
Cambridgeshire,Somersham Library Access Point,2020-01,Adult fiction large print hardback,2
Cambridgeshire,Somersham Library Access Point,2020-01,Adult fiction large print paperback,8
Cambridgeshire,Somersham Library Access Point,2020-01,Adult fiction paperback,59
Cambridgeshire,Somersham Library Access Point,2020-01,Adult non fiction hardback,9
Cambridgeshire,Somersham Library Access Point,2020-01,Adult non fiction paperback,4
Cambridgeshire,Somersham Library Access Point,2020-01,Adult non-fiction,1
Cambridgeshire,Somersham Library Access Point,2020-01,Children's fiction,1
Cambridgeshire,Somersham Library Access Point,2020-01,DVD: 15,1
Cambridgeshire,Somersham Library Access Point,2020-01,Junior fiction,93
Cambridgeshire,Somersham Library Access Point,2020-01,Junior non-fiction,10
Cambridgeshire,Somersham Library Access Point,2020-01,Picture Book,3
Cambridgeshire,Somersham Library Access Point,2020-01,Teenage,1
Cambridgeshire,Somersham Library Access Point,2020-01,Young adult,6
Cambridgeshire,Somersham Library Access Point,2020-01,Young adult plus,4
Cambridgeshire,Somersham Library Access Point,2020-01,Adult fiction hardback,1
Cambridgeshire,Somersham Library Access Point,2020-01,Adult non fiction hardback,1
Cambridgeshire,Somersham Library Access Point,2020-01,Adult non fiction paperback,2
Cambridgeshire,Somersham Library Access Point,2020-01,Junior fiction,2
Cambridgeshire,St Ives Library,2019-12,Adult fiction,41
Cambridgeshire,St Ives Library,2019-12,Adult fiction hardback,178
Cambridgeshire,St Ives Library,2019-12,Adult fiction large print hardback,34
Cambridgeshire,St Ives Library,2019-12,Adult fiction large print paperback,38
Cambridgeshire,St Ives Library,2019-12,Adult fiction paperback,346
Cambridgeshire,St Ives Library,2019-12,Adult non fiction hardback,71
Cambridgeshire,St Ives Library,2019-12,Adult non fiction large print hardback,1
Cambridgeshire,St Ives Library,2019-12,Adult non fiction large print paperback,1
Cambridgeshire,St Ives Library,2019-12,Adult non fiction paperback,116
Cambridgeshire,St Ives Library,2019-12,Adult non-fiction,8
Cambridgeshire,St Ives Library,2019-12,Adult spoken word CD,1
Cambridgeshire,St Ives Library,2019-12,Adult spoken word CD set,6
Cambridgeshire,St Ives Library,2019-12,Children's fiction,15
Cambridgeshire,St Ives Library,2019-12,Children's non-fiction,1
Cambridgeshire,St Ives Library,2019-12,Children's spoken word CD set,10
Cambridgeshire,St Ives Library,2019-12,DVD: 12,1
Cambridgeshire,St Ives Library,2019-12,DVD: 15,2
Cambridgeshire,St Ives Library,2019-12,DVD: PG,3
Cambridgeshire,St Ives Library,2019-12,DVD: U,5
Cambridgeshire,St Ives Library,2019-12,Junior fiction,424
Cambridgeshire,St Ives Library,2019-12,Junior non-fiction,71
Cambridgeshire,St Ives Library,2019-12,Music score,1
Cambridgeshire,St Ives Library,2019-12,Quick Pick fiction,1
Cambridgeshire,St Ives Library,2019-12,Teenage,5
Cambridgeshire,St Ives Library,2019-12,Young adult,2
Cambridgeshire,St Ives Library,2019-12,Young adult plus,2
Cambridgeshire,St Ives Library,2020-01,Adult fiction,94
Cambridgeshire,St Ives Library,2020-01,Adult fiction hardback,318
Cambridgeshire,St Ives Library,2020-01,Adult fiction large print hardback,45
Cambridgeshire,St Ives Library,2020-01,Adult fiction large print paperback,47
Cambridgeshire,St Ives Library,2020-01,Adult fiction paperback,607
Cambridgeshire,St Ives Library,2020-01,Adult non fiction hardback,67
Cambridgeshire,St Ives Library,2020-01,Adult non fiction large print hardback,1
Cambridgeshire,St Ives Library,2020-01,Adult non fiction large print paperback,1
Cambridgeshire,St Ives Library,2020-01,Adult non fiction paperback,158
Cambridgeshire,St Ives Library,2020-01,Adult non-fiction,10
Cambridgeshire,St Ives Library,2020-01,Adult spoken word cassette set,11
Cambridgeshire,St Ives Library,2020-01,Adult spoken word CD,3
Cambridgeshire,St Ives Library,2020-01,Adult spoken word CD set,28
Cambridgeshire,St Ives Library,2020-01,CD,3
Cambridgeshire,St Ives Library,2020-01,CD set,1
Cambridgeshire,St Ives Library,2020-01,Children's fiction,7
Cambridgeshire,St Ives Library,2020-01,Children's non-fiction,2
Cambridgeshire,St Ives Library,2020-01,DVD: 12,7
Cambridgeshire,St Ives Library,2020-01,DVD: 15,5
Cambridgeshire,St Ives Library,2020-01,DVD: PG,5
Cambridgeshire,St Ives Library,2020-01,DVD: U,1
Cambridgeshire,St Ives Library,2020-01,Junior fiction,417
Cambridgeshire,St Ives Library,2020-01,Junior non-fiction,59
Cambridgeshire,St Ives Library,2020-01,Map,5
Cambridgeshire,St Ives Library,2020-01,Music CD,1
Cambridgeshire,St Ives Library,2020-01,Quick Pick fiction,2
Cambridgeshire,St Ives Library,2020-01,Teenage,9
Cambridgeshire,St Ives Library,2020-01,Young adult,1
Cambridgeshire,St Ives Library,2020-01,Young adult plus,2
Cambridgeshire,St Ives Library,2020-01,Adult fiction,3
Cambridgeshire,St Ives Library,2020-01,Adult fiction hardback,16
Cambridgeshire,St Ives Library,2020-01,Adult fiction large print hardback,2
Cambridgeshire,St Ives Library,2020-01,Adult fiction paperback,10
Cambridgeshire,St Ives Library,2020-01,Adult non fiction hardback,8
Cambridgeshire,St Ives Library,2020-01,Adult non fiction paperback,13
Cambridgeshire,St Ives Library,2020-01,Children's fiction,1
Cambridgeshire,St Ives Library,2020-01,Children's spoken word CD set,3
Cambridgeshire,St Ives Library,2020-01,Junior fiction,45
Cambridgeshire,St Ives Library,2020-01,Junior non-fiction,10
Cambridgeshire,St Ives Library,2020-01,Map,3
Cambridgeshire,St Ives Library,2020-01,Teenage,1
Cambridgeshire,St Neots Library,2019-12,Adult fiction,43
Cambridgeshire,St Neots Library,2019-12,Adult fiction hardback,117
Cambridgeshire,St Neots Library,2019-12,Adult fiction large print hardback,11
Cambridgeshire,St Neots Library,2019-12,Adult fiction large print paperback,15
Cambridgeshire,St Neots Library,2019-12,Adult fiction paperback,384
Cambridgeshire,St Neots Library,2019-12,Adult non fiction hardback,29
Cambridgeshire,St Neots Library,2019-12,Adult non fiction large print paperback,1
Cambridgeshire,St Neots Library,2019-12,Adult non fiction paperback,49
Cambridgeshire,St Neots Library,2019-12,Adult non-fiction,1
Cambridgeshire,St Neots Library,2019-12,Adult spoken word cassette set,4
Cambridgeshire,St Neots Library,2019-12,Adult spoken word CD set,24
Cambridgeshire,St Neots Library,2019-12,Children's fiction,28
Cambridgeshire,St Neots Library,2019-12,Children's non-fiction,3
Cambridgeshire,St Neots Library,2019-12,Children's spoken word CD set,4
Cambridgeshire,St Neots Library,2019-12,DVD: 12,6
Cambridgeshire,St Neots Library,2019-12,DVD: 15,2
Cambridgeshire,St Neots Library,2019-12,DVD: PG,6
Cambridgeshire,St Neots Library,2019-12,Junior fiction,618
Cambridgeshire,St Neots Library,2019-12,Junior non-fiction,61
Cambridgeshire,St Neots Library,2019-12,Map,3
Cambridgeshire,St Neots Library,2019-12,Picture Book,3
Cambridgeshire,St Neots Library,2019-12,Quick Pick fiction,5
Cambridgeshire,St Neots Library,2019-12,Teenage,10
Cambridgeshire,St Neots Library,2019-12,Young adult,3
Cambridgeshire,St Neots Library,2019-12,Young adult plus,1
Cambridgeshire,St Neots Library,2020-01,Adult fiction,69
Cambridgeshire,St Neots Library,2020-01,Adult fiction hardback,140
Cambridgeshire,St Neots Library,2020-01,Adult fiction large print hardback,38
Cambridgeshire,St Neots Library,2020-01,Adult fiction large print paperback,65
Cambridgeshire,St Neots Library,2020-01,Adult fiction paperback,472
Cambridgeshire,St Neots Library,2020-01,Adult non fiction hardback,45
Cambridgeshire,St Neots Library,2020-01,Adult non fiction large print hardback,1
Cambridgeshire,St Neots Library,2020-01,Adult non fiction large print paperback,4
Cambridgeshire,St Neots Library,2020-01,Adult non fiction paperback,86
Cambridgeshire,St Neots Library,2020-01,Adult non-fiction,3
Cambridgeshire,St Neots Library,2020-01,Adult spoken word CD set,21
Cambridgeshire,St Neots Library,2020-01,Children's fiction,18
Cambridgeshire,St Neots Library,2020-01,Children's non-fiction,3
Cambridgeshire,St Neots Library,2020-01,Children's spoken word CD set,5
Cambridgeshire,St Neots Library,2020-01,Devices and electronics,1
Cambridgeshire,St Neots Library,2020-01,DVD: 12,3
Cambridgeshire,St Neots Library,2020-01,DVD: PG,4
Cambridgeshire,St Neots Library,2020-01,DVD: U,1
Cambridgeshire,St Neots Library,2020-01,Junior fiction,653
Cambridgeshire,St Neots Library,2020-01,Junior fiction paperback,1
Cambridgeshire,St Neots Library,2020-01,Junior large print,1
Cambridgeshire,St Neots Library,2020-01,Junior non-fiction,104
Cambridgeshire,St Neots Library,2020-01,Picture Book,2
Cambridgeshire,St Neots Library,2020-01,Quick Pick fiction,5
Cambridgeshire,St Neots Library,2020-01,Teenage,24
Cambridgeshire,St Neots Library,2020-01,Young adult,5
Cambridgeshire,St Neots Library,2020-01,Young adult plus,4
Cambridgeshire,Swavesey Library Access Point,2019-12,Adult fiction paperback,11
Cambridgeshire,Swavesey Library Access Point,2019-12,Adult non fiction hardback,1
Cambridgeshire,Swavesey Library Access Point,2019-12,Children's fiction,1
Cambridgeshire,Swavesey Library Access Point,2019-12,Children's non-fiction,1
Cambridgeshire,Swavesey Library Access Point,2019-12,Junior fiction,11
Cambridgeshire,Swavesey Library Access Point,2019-12,Quick Pick fiction,1
Cambridgeshire,Swavesey Library Access Point,2019-12,Teenage,1
Cambridgeshire,Swavesey Library Access Point,2019-12,Young adult,1
Cambridgeshire,Swavesey Library Access Point,2020-01,Adult fiction,1
Cambridgeshire,Swavesey Library Access Point,2020-01,Adult fiction hardback,1
Cambridgeshire,Swavesey Library Access Point,2020-01,Adult fiction large print paperback,1
Cambridgeshire,Swavesey Library Access Point,2020-01,Adult fiction paperback,17
Cambridgeshire,Swavesey Library Access Point,2020-01,Adult non fiction hardback,3
Cambridgeshire,Swavesey Library Access Point,2020-01,Adult non-fiction,1
Cambridgeshire,Swavesey Library Access Point,2020-01,Children's non-fiction,2
Cambridgeshire,Swavesey Library Access Point,2020-01,Junior fiction,13
Cambridgeshire,Swavesey Library Access Point,2020-01,Junior non-fiction,2
Cambridgeshire,Swavesey Library Access Point,2020-01,Quick Pick fiction,2
Cambridgeshire,Swavesey Library Access Point,2020-01,Teenage,1
Cambridgeshire,Warboys Library,2019-12,Adult fiction,3
Cambridgeshire,Warboys Library,2019-12,Adult fiction hardback,28
Cambridgeshire,Warboys Library,2019-12,Adult fiction large print hardback,4
Cambridgeshire,Warboys Library,2019-12,Adult fiction paperback,65
Cambridgeshire,Warboys Library,2019-12,Adult non fiction hardback,6
Cambridgeshire,Warboys Library,2019-12,Adult non fiction paperback,3
Cambridgeshire,Warboys Library,2019-12,Junior fiction,27
Cambridgeshire,Warboys Library,2019-12,Junior non-fiction,4
Cambridgeshire,Warboys Library,2019-12,Picture Book,1
Cambridgeshire,Warboys Library,2019-12,Quick Pick fiction,21
Cambridgeshire,Warboys Library,2020-01,Adult fiction,15
Cambridgeshire,Warboys Library,2020-01,Adult fiction hardback,13
Cambridgeshire,Warboys Library,2020-01,Adult fiction large print hardback,4
Cambridgeshire,Warboys Library,2020-01,Adult fiction large print paperback,1
Cambridgeshire,Warboys Library,2020-01,Adult fiction paperback,71
Cambridgeshire,Warboys Library,2020-01,Adult non fiction hardback,7
Cambridgeshire,Warboys Library,2020-01,Adult non fiction paperback,7
Cambridgeshire,Warboys Library,2020-01,Adult non-fiction,1
Cambridgeshire,Warboys Library,2020-01,Adult spoken word cassette,3
Cambridgeshire,Warboys Library,2020-01,Adult spoken word cassette set,9
Cambridgeshire,Warboys Library,2020-01,Adult spoken word CD set,16
Cambridgeshire,Warboys Library,2020-01,Junior fiction,43
Cambridgeshire,Warboys Library,2020-01,Junior non-fiction,8
Cambridgeshire,Warboys Library,2020-01,Quick Pick fiction,19
Cambridgeshire,Warboys Library,2020-01,Teenage,1
Cambridgeshire,Waterbeach Library Access Point,2019-12,Adult fiction hardback,1
Cambridgeshire,Waterbeach Library Access Point,2019-12,Adult fiction paperback,17
Cambridgeshire,Waterbeach Library Access Point,2019-12,Adult non fiction hardback,1
Cambridgeshire,Waterbeach Library Access Point,2019-12,Adult non fiction paperback,2
Cambridgeshire,Waterbeach Library Access Point,2019-12,Junior fiction,61
Cambridgeshire,Waterbeach Library Access Point,2019-12,Junior large print,2
Cambridgeshire,Waterbeach Library Access Point,2019-12,Junior non-fiction,6
Cambridgeshire,Waterbeach Library Access Point,2019-12,Picture Book,1
Cambridgeshire,Waterbeach Library Access Point,2019-12,Young adult,2
Cambridgeshire,Waterbeach Library Access Point,2020-01,Adult fiction hardback,3
Cambridgeshire,Waterbeach Library Access Point,2020-01,Adult fiction large print paperback,2
Cambridgeshire,Waterbeach Library Access Point,2020-01,Adult fiction paperback,57
Cambridgeshire,Waterbeach Library Access Point,2020-01,Adult non fiction hardback,2
Cambridgeshire,Waterbeach Library Access Point,2020-01,Adult non fiction paperback,4
Cambridgeshire,Waterbeach Library Access Point,2020-01,Adult non-fiction,2
Cambridgeshire,Waterbeach Library Access Point,2020-01,Adult spoken word CD set,1
Cambridgeshire,Waterbeach Library Access Point,2020-01,DVD: 12,1
Cambridgeshire,Waterbeach Library Access Point,2020-01,DVD: 15,1
Cambridgeshire,Waterbeach Library Access Point,2020-01,Junior fiction,214
Cambridgeshire,Waterbeach Library Access Point,2020-01,Junior large print,2
Cambridgeshire,Waterbeach Library Access Point,2020-01,Junior non-fiction,46
Cambridgeshire,Waterbeach Library Access Point,2020-01,Young adult,10
Cambridgeshire,Whittlesey Library Learning Centre,2019-12,Adult fiction,9
Cambridgeshire,Whittlesey Library Learning Centre,2019-12,Adult fiction hardback,29
Cambridgeshire,Whittlesey Library Learning Centre,2019-12,Adult fiction large print hardback,9
Cambridgeshire,Whittlesey Library Learning Centre,2019-12,Adult fiction large print paperback,9
Cambridgeshire,Whittlesey Library Learning Centre,2019-12,Adult fiction paperback,86
Cambridgeshire,Whittlesey Library Learning Centre,2019-12,Adult non fiction hardback,7
Cambridgeshire,Whittlesey Library Learning Centre,2019-12,Adult non fiction large print hardback,1
Cambridgeshire,Whittlesey Library Learning Centre,2019-12,Adult non fiction paperback,8
Cambridgeshire,Whittlesey Library Learning Centre,2019-12,Adult non-fiction,1
Cambridgeshire,Whittlesey Library Learning Centre,2019-12,Adult spoken word CD set,11
Cambridgeshire,Whittlesey Library Learning Centre,2019-12,Children's fiction,1
Cambridgeshire,Whittlesey Library Learning Centre,2019-12,Children's spoken word CD set,3
Cambridgeshire,Whittlesey Library Learning Centre,2019-12,DVD: 12,1
Cambridgeshire,Whittlesey Library Learning Centre,2019-12,Junior fiction,47
Cambridgeshire,Whittlesey Library Learning Centre,2019-12,Junior non-fiction,4
Cambridgeshire,Whittlesey Library Learning Centre,2019-12,Quick Pick fiction,2
Cambridgeshire,Whittlesey Library Learning Centre,2019-12,Young adult,2
Cambridgeshire,Whittlesey Library Learning Centre,2020-01,Adult fiction,16
Cambridgeshire,Whittlesey Library Learning Centre,2020-01,Adult fiction hardback,30
Cambridgeshire,Whittlesey Library Learning Centre,2020-01,Adult fiction large print hardback,10
Cambridgeshire,Whittlesey Library Learning Centre,2020-01,Adult fiction large print paperback,1
Cambridgeshire,Whittlesey Library Learning Centre,2020-01,Adult fiction paperback,112
Cambridgeshire,Whittlesey Library Learning Centre,2020-01,Adult non fiction hardback,15
Cambridgeshire,Whittlesey Library Learning Centre,2020-01,Adult non fiction paperback,18
Cambridgeshire,Whittlesey Library Learning Centre,2020-01,Adult non-fiction,3
Cambridgeshire,Whittlesey Library Learning Centre,2020-01,Adult spoken word CD set,4
Cambridgeshire,Whittlesey Library Learning Centre,2020-01,Children's fiction,2
Cambridgeshire,Whittlesey Library Learning Centre,2020-01,Children's non-fiction,1
Cambridgeshire,Whittlesey Library Learning Centre,2020-01,Children's spoken word CD set,2
Cambridgeshire,Whittlesey Library Learning Centre,2020-01,Junior fiction,163
Cambridgeshire,Whittlesey Library Learning Centre,2020-01,Junior non-fiction,20
Cambridgeshire,Whittlesey Library Learning Centre,2020-01,Quick Pick fiction,2
Cambridgeshire,Whittlesey Library Learning Centre,2020-01,Teenage,3
Cambridgeshire,Whittlesey Library Learning Centre,2020-01,Young adult,1
Cambridgeshire,Whittlesey Library Learning Centre,2020-01,Young adult plus,1
Cambridgeshire,Willingham Library,2019-12,Adult fiction,2
Cambridgeshire,Willingham Library,2019-12,Adult fiction hardback,11
Cambridgeshire,Willingham Library,2019-12,Adult fiction paperback,55
Cambridgeshire,Willingham Library,2019-12,Adult non fiction hardback,10
Cambridgeshire,Willingham Library,2019-12,Adult non fiction paperback,11
Cambridgeshire,Willingham Library,2019-12,Junior fiction,41
Cambridgeshire,Willingham Library,2019-12,Junior non-fiction,5
Cambridgeshire,Willingham Library,2019-12,Teenage,1
Cambridgeshire,Willingham Library,2019-12,Young adult,1
Cambridgeshire,Willingham Library,2019-12,Young adult plus,1
Cambridgeshire,Willingham Library,2020-01,Adult fiction,7
Cambridgeshire,Willingham Library,2020-01,Adult fiction hardback,32
Cambridgeshire,Willingham Library,2020-01,Adult fiction large print paperback,1
Cambridgeshire,Willingham Library,2020-01,Adult fiction paperback,48
Cambridgeshire,Willingham Library,2020-01,Adult non fiction hardback,5
Cambridgeshire,Willingham Library,2020-01,Adult non fiction paperback,5
Cambridgeshire,Willingham Library,2020-01,Children's fiction,1
Cambridgeshire,Willingham Library,2020-01,Junior fiction,66
Cambridgeshire,Willingham Library,2020-01,Junior non-fiction,2
Cambridgeshire,Willingham Library,2020-01,Quick Pick fiction,2
Cambridgeshire,Willingham Library,2020-01,Teenage,3
Cambridgeshire,Willingham Library,2020-01,Young adult,1
Cambridgeshire,Willingham Library,2020-01,Young adult plus,2
Cambridgeshire,Wisbech Library,2019-12,Adult fiction,18
Cambridgeshire,Wisbech Library,2019-12,Adult fiction hardback,90
Cambridgeshire,Wisbech Library,2019-12,Adult fiction large print hardback,23
Cambridgeshire,Wisbech Library,2019-12,Adult fiction large print paperback,18
Cambridgeshire,Wisbech Library,2019-12,Adult fiction paperback,200
Cambridgeshire,Wisbech Library,2019-12,Adult non fiction hardback,46
Cambridgeshire,Wisbech Library,2019-12,Adult non fiction large print hardback,1
Cambridgeshire,Wisbech Library,2019-12,Adult non fiction paperback,42
Cambridgeshire,Wisbech Library,2019-12,Adult non-fiction,21
Cambridgeshire,Wisbech Library,2019-12,Adult spoken word cassette set,8
Cambridgeshire,Wisbech Library,2019-12,Adult spoken word CD set,18
Cambridgeshire,Wisbech Library,2019-12,Children's fiction,6
Cambridgeshire,Wisbech Library,2019-12,Children's non-fiction,1
Cambridgeshire,Wisbech Library,2019-12,DVD: PG,1
Cambridgeshire,Wisbech Library,2019-12,Junior fiction,159
Cambridgeshire,Wisbech Library,2019-12,Junior non-fiction,31
Cambridgeshire,Wisbech Library,2019-12,Music score,1
Cambridgeshire,Wisbech Library,2019-12,Picture Book,1
Cambridgeshire,Wisbech Library,2019-12,Quick Pick fiction,11
Cambridgeshire,Wisbech Library,2019-12,Quick Pick non-fiction,1
Cambridgeshire,Wisbech Library,2019-12,Teenage,1
Cambridgeshire,Wisbech Library,2019-12,Young adult,4
Cambridgeshire,Wisbech Library,2020-01,Adult fiction,49
Cambridgeshire,Wisbech Library,2020-01,Adult fiction hardback,165
Cambridgeshire,Wisbech Library,2020-01,Adult fiction large print hardback,10
Cambridgeshire,Wisbech Library,2020-01,Adult fiction large print paperback,13
Cambridgeshire,Wisbech Library,2020-01,Adult fiction paperback,317
Cambridgeshire,Wisbech Library,2020-01,Adult non fiction hardback,37
Cambridgeshire,Wisbech Library,2020-01,Adult non fiction large print hardback,1
Cambridgeshire,Wisbech Library,2020-01,Adult non fiction paperback,57
Cambridgeshire,Wisbech Library,2020-01,Adult non-fiction,16
Cambridgeshire,Wisbech Library,2020-01,Adult spoken word CD set,15
Cambridgeshire,Wisbech Library,2020-01,Children's fiction,4
Cambridgeshire,Wisbech Library,2020-01,Children's non-fiction,1
Cambridgeshire,Wisbech Library,2020-01,Children's spoken word CD set,1
