"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"LIB01","Library Visits - All Libraries","255626.00 Number","Number","2017/2018_Q1","2017-04-01","2017-06-30","Annual"
"LIB01","Library Visits - All Libraries","1014173.00 Number","Number","2017/2018","2017-04-01","2018-03-31","Annual"
"LIB01","Library Visits - All Libraries","87772.00 Number","Number","2017/2018_May","2017-05-01","2017-05-31","Annual"
"LIB01","Library Visits - All Libraries","89253.00 Number","Number","2017/2018_Jun","2017-06-01","2017-06-30","Annual"
"LIB01","Library Visits - All Libraries","292534.00 Number","Number","2017/2018_Q2","2017-07-01","2017-09-30","Annual"
"LIB01","Library Visits - All Libraries","97666.00 Number","Number","2017/2018_Jul","2017-07-01","2017-07-31","Annual"
"LIB01","Library Visits - All Libraries","103878.00 Number","Number","2017/2018_Aug","2017-08-01","2017-08-31","Annual"
"LIB01","Library Visits - All Libraries","90990.00 Number","Number","2017/2018_Sep","2017-09-01","2017-09-30","Annual"
"LIB01","Library Visits - All Libraries","230351.00 Number","Number","2017/2018_Q3","2017-10-01","2017-12-31","Annual"
"LIB01","Library Visits - All Libraries","87882.00 Number","Number","2017/2018_Oct","2017-10-01","2017-10-31","Annual"
"LIB01","Library Visits - All Libraries","79707.00 Number","Number","2017/2018_Nov","2017-11-01","2017-11-30","Annual"
"LIB01","Library Visits - All Libraries","62762.00 Number","Number","2017/2018_Dec","2017-12-01","2017-12-31","Annual"
"LIB01","Library Visits - All Libraries","235662.00 Number","Number","2017/2018_Q4","2018-01-01","2018-03-31","Annual"
"LIB01","Library Visits - All Libraries","79995.00 Number","Number","2017/2018_Jan","2018-01-01","2018-01-31","Annual"
"LIB01","Library Visits - All Libraries","73280.00 Number","Number","2017/2018_Feb","2018-02-01","2018-02-28","Annual"
"LIB01","Library Visits - All Libraries","82387.00 Number","Number","2017/2018_Mar","2018-03-01","2018-03-31","Annual"
"LIB01","Library Visits - All Libraries","246576.00 Number","Number","2018/2019_Q1","2018-04-01","2018-06-30","Annual"
"LIB01","Library Visits - All Libraries","1045617.00 Number","Number","2018/2019","2018-04-01","2019-03-31","Annual"
"LIB01","Library Visits - All Libraries","79497.00 Number","Number","2018/2019_Apr","2018-04-01","2018-04-30","Annual"
"LIB01","Library Visits - All Libraries","81301.00 Number","Number","2018/2019_May","2018-05-01","2018-05-31","Annual"
"LIB01","Library Visits - All Libraries","85778.00 Number","Number","2018/2019_Jun","2018-06-01","2018-06-30","Annual"
"LIB01","Library Visits - All Libraries","300293.00 Number","Number","2018/2019_Q2","2018-07-01","2018-09-30","Annual"
"LIB01","Library Visits - All Libraries","108246.00 Number","Number","2018/2019_Jul","2018-07-01","2018-07-31","Annual"
"LIB01","Library Visits - All Libraries","102687.00 Number","Number","2018/2019_Aug","2018-08-01","2018-08-31","Annual"
"LIB01","Library Visits - All Libraries","89360.00 Number","Number","2018/2019_Sep","2018-09-01","2018-09-30","Annual"
"LIB01","Library Visits - All Libraries","94220.00 Number","Number","2018/2019_Oct","2018-10-01","2018-10-31","Annual"
"LIB01","Library Visits - All Libraries","242024.00 Number","Number","2018/2019_Q3","2018-10-01","2018-12-31","Annual"
"LIB01","Library Visits - All Libraries","84127.00 Number","Number","2018/2019_Nov","2018-11-01","2018-11-30","Annual"
"LIB01","Library Visits - All Libraries","63677.00 Number","Number","2018/2019_Dec","2018-12-01","2018-12-31","Annual"
"LIB01","Library Visits - All Libraries","256724.00 Number","Number","2018/2019_Q4","2019-01-01","2019-03-31","Annual"
"LIB01","Library Visits - All Libraries","88272.00 Number","Number","2018/2019_Jan","2019-01-01","2019-01-31","Annual"
"LIB01","Library Visits - All Libraries","82479.00 Number","Number","2018/2019_Feb","2019-02-01","2019-02-28","Annual"
"LIB01","Library Visits - All Libraries","85973.00 Number","Number","2018/2019_Mar","2019-03-01","2019-03-31","Annual"
"LIB01","Library Visits - All Libraries","1023034.00 Number","Number","2019/2020","2019-04-01","2020-03-31","Annual"
"LIB01","Library Visits - All Libraries","84859.00 Number","Number","2019/2020_Apr","2019-04-01","2019-04-30","Annual"
"LIB01","Library Visits - All Libraries","264094.00 Number","Number","2019/2020_Q1","2019-04-01","2019-06-30","Annual"
"LIB01","Library Visits - All Libraries","89509.00 Number","Number","2019/2020_May","2019-05-01","2019-05-31","Annual"
"LIB01","Library Visits - All Libraries","89726.00 Number","Number","2019/2020_Jun","2019-06-01","2019-06-30","Annual"
"LIB01","Library Visits - All Libraries","101892.00 Number","Number","2019/2020_Jul","2019-07-01","2019-07-31","Annual"
"LIB01","Library Visits - All Libraries","298937.00 Number","Number","2019/2020_Q2","2019-07-01","2019-09-30","Annual"
"LIB01","Library Visits - All Libraries","106394.00 Number","Number","2019/2020_Aug","2019-08-01","2019-08-31","Annual"
"LIB01","Library Visits - All Libraries","90651.00 Number","Number","2019/2020_Sep","2019-09-01","2019-09-30","Annual"
"LIB01","Library Visits - All Libraries","239841.00 Number","Number","2019/2020_Q3","2019-10-01","2019-12-31","Annual"
"LIB01","Library Visits - All Libraries","90883.00 Number","Number","2019/2020_Oct","2019-10-01","2019-10-31","Annual"
"LIB01","Library Visits - All Libraries","83090.00 Number","Number","2019/2020_Nov","2019-11-01","2019-11-30","Annual"
"LIB01","Library Visits - All Libraries","65868.00 Number","Number","2019/2020_Dec","2019-12-01","2019-12-31","Annual"
"LIB01","Library Visits - All Libraries","220162.00 Number","Number","2019/2020_Q4","2020-01-01","2020-03-31","Annual"
"LIB01","Library Visits - All Libraries","89106.00 Number","Number","2019/2020_Jan","2020-01-01","2020-01-31","Annual"
"LIB01","Library Visits - All Libraries","80074.00 Number","Number","2019/2020_Feb","2020-02-01","2020-02-29","Annual"
"LIB01","Library Visits - All Libraries","50982.00 Number","Number","2019/2020_Mar","2020-03-01","2020-03-31","Annual"
"LIB01","Library Visits - All Libraries","0.00 Number","Number","2020/2021_Apr","2020-04-01","2020-04-30","Annual"
"LIB01","Library Visits - All Libraries","0.00 Number","Number","2020/2021_Q1","2020-04-01","2020-06-30","Annual"
"LIB01","Library Visits - All Libraries","183706.00 Number","Number","2020/2021","2020-04-01","2021-03-31","Annual"
"LIB01","Library Visits - All Libraries","0.00 Number","Number","2020/2021_May","2020-05-01","2020-05-31","Annual"
"LIB01","Library Visits - All Libraries","0.00 Number","Number","2020/2021_Jun","2020-06-01","2020-06-30","Annual"
"LIB01","Library Visits - All Libraries","81056.00 Number","Number","2020/2021_Q2","2020-07-01","2020-09-30","Annual"
"LIB01","Library Visits - All Libraries","21556.00 Number","Number","2020/2021_Jul","2020-07-01","2020-07-31","Annual"
"LIB01","Library Visits - All Libraries","26405.00 Number","Number","2020/2021_Aug","2020-08-01","2020-08-31","Annual"
"LIB01","Library Visits - All Libraries","33095.00 Number","Number","2020/2021_Sep","2020-09-01","2020-09-30","Annual"
"LIB01","Library Visits - All Libraries","73051.00 Number","Number","2020/2021_Q3","2020-10-01","2020-12-31","Annual"
"LIB01","Library Visits - All Libraries","38084.00 Number","Number","2020/2021_Oct","2020-10-01","2020-10-31","Annual"
"LIB01","Library Visits - All Libraries","12611.00 Number","Number","2020/2021_Nov","2020-11-01","2020-11-30","Annual"
"LIB01","Library Visits - All Libraries","22356.00 Number","Number","2020/2021_Dec","2020-12-01","2020-12-31","Annual"
"LIB01","Library Visits - All Libraries","8761.00 Number","Number","2020/2021_Jan","2021-01-01","2021-01-31","Annual"
"LIB01","Library Visits - All Libraries","29599.00 Number","Number","2020/2021_Q4","2021-01-01","2021-03-31","Annual"
"LIB01","Library Visits - All Libraries","6475.00 Number","Number","2020/2021_Feb","2021-02-01","2021-02-28","Annual"
"LIB01","Library Visits - All Libraries","14363.00 Number","Number","2020/2021_Mar","2021-03-01","2021-03-31","Annual"
"LIB01","Library Visits - All Libraries","26865.00 Number","Number","2021/2022_Apr","2021-04-01","2021-04-30","Annual"
"LIB01","Library Visits - All Libraries","617771.00 Number","Number","2021/2022","2021-04-01","2022-03-31","Annual"
"LIB01","Library Visits - All Libraries","106819.00 Number","Number","2021/2022_Q1","2021-04-01","2021-06-30","Annual"
"LIB01","Library Visits - All Libraries","36014.00 Number","Number","2021/2022_May","2021-05-01","2021-05-31","Annual"
"LIB01","Library Visits - All Libraries","43940.00 Number","Number","2021/2022_Jun","2021-06-01","2021-06-30","Annual"
"LIB01","Library Visits - All Libraries","167342.00 Number","Number","2021/2022_Q2","2021-07-01","2021-09-30","Annual"
"LIB01","Library Visits - All Libraries","49483.00 Number","Number","2021/2022_Jul","2021-07-01","2021-07-31","Annual"
"LIB01","Library Visits - All Libraries","60460.00 Number","Number","2021/2022_Aug","2021-08-01","2021-08-31","Annual"
"LIB01","Library Visits - All Libraries","57399.00 Number","Number","2021/2022_Sep","2021-09-01","2021-09-30","Annual"
"LIB01","Library Visits - All Libraries","59021.00 Number","Number","2021/2022_Oct","2021-10-01","2021-10-31","Annual"
"LIB01","Library Visits - All Libraries","163099.00 Number","Number","2021/2022_Q3","2021-10-01","2021-12-31","Annual"
"LIB01","Library Visits - All Libraries","60093.00 Number","Number","2021/2022_Nov","2021-11-01","2021-11-30","Annual"
"LIB01","Library Visits - All Libraries","43985.00 Number","Number","2021/2022_Dec","2021-12-01","2021-12-31","Annual"
"LIB01","Library Visits - All Libraries","180511.00 Number","Number","2021/2022_Q4","2022-01-01","2022-03-31","Annual"
"LIB01","Library Visits - All Libraries","57077.00 Number","Number","2021/2022_Jan","2022-01-01","2022-01-31","Annual"
"LIB01","Library Visits - All Libraries","56159.00 Number","Number","2021/2022_Feb","2022-02-01","2022-02-28","Annual"
