NAME,COMPUTER_SESSIONS,WIFI_USE,GATE_COUNT,FISCAL_YEAR,GIS_ID,CREATED_DATE,LAST_EDITED_DATE,OBJECTID,GLOBALID
Palisades,2290,2548,37397,2017,LibraryPt_12,,2022/08/04 22:59:02+00,69,{1D8931E9-7DF0-4E5A-9FAB-C36246D4F1FD}
Parklands-Turner,39448,18656,138234,2017,LibraryPt_19,,2022/08/04 22:59:02+00,70,{79752D7F-451E-4E82-BD3D-1810925C1CFA}
Petworth,42680,26801,171159,2017,LibraryPt_26,,2022/08/04 22:59:02+00,71,{D6AA6273-251F-47A9-B4EB-B3847464AED1}
Rosedale,24006,6377,88740,2017,LibraryPt_32,,2022/08/04 22:59:02+00,72,{A514F9DC-4736-4B6C-B8C1-58E673EEABE9}
Shaw (Watha T. Daniel),66664,33609,241929,2017,LibraryPt_28,,2022/08/04 22:59:02+00,73,{34E1495C-D59D-4197-86F5-512C43E2F0CA}
Shepherd Park (Juanita E. Thornton),24170,8804,90869,2017,LibraryPt_16,,2022/08/04 22:59:02+00,74,{A58F55E9-CD32-49C0-B9AC-AFC243113BF8}
Southeast,28665,13779,160057,2017,LibraryPt_14,,2022/08/04 22:59:02+00,75,{B065FAC5-FC91-43B3-8285-0FDE179C3FD2}
Southwest ,26233,9047,99206,2017,LibraryPt_15,,2022/08/04 22:59:02+00,76,{3F2D2EF1-3030-41C3-9DD4-EAAF07296799}
Takoma Park,17950,6190,74734,2017,LibraryPt_17,,2022/08/04 22:59:02+00,77,{B0201EAE-98E0-4311-9878-FD99848BE140}
Tenley-Friendship,41307,21058,249984,2017,LibraryPt_11,,2022/08/04 22:59:02+00,78,{34929581-0225-4ACD-861B-E6475643AD39}
West End,16506,4028,90065,2017,LibraryPt_21,,2022/08/04 22:59:02+00,79,{5508F5A4-6647-42BC-B9E7-1DAAC48A8BF9}
Woodridge,47744,18761,156639,2017,LibraryPt_22,,2022/08/04 22:59:02+00,80,{8E199EAC-A209-4D13-ACB0-45619DAF0812}
Anacostia,50627,18375,166445,2018,LibraryPt_24,,2022/08/04 22:59:02+00,81,{8F908F88-01DE-422B-9D7A-3A7388BE57A1}
Bellevue (William O. Lockridge),48772,10781,106969,2018,LibraryPt_20,,2022/08/04 22:59:02+00,82,{F8BD6981-A888-45F2-A0A3-25A3C8997989}
Benning (Dorothy I. Height),57939,24037,204706,2018,LibraryPt_2,,2022/08/04 22:59:02+00,83,{06378FE7-13F8-4484-8B5F-750F722E6E18}
Capitol View,22081,6649,53041,2018,LibraryPt_3,,2022/08/04 22:59:02+00,84,{07DF3FC8-C278-4944-A319-ED814FBB9E5A}
Chevy Chase,16316,13908,150801,2018,LibraryPt_4,,2022/08/04 22:59:02+00,85,{8E70FE45-4570-4DF5-BF52-F69C39C25E7E}
Cleveland Park,10566,13927,101643,2018,LibraryPt_5,,2022/08/04 22:59:02+00,86,{74C2CC03-9C39-4B1F-BD23-15DAA1D6309B}
Deanwood,22583,6808,91280,2018,LibraryPt_29,,2022/08/04 22:59:02+00,87,{806B86D0-5E53-4E6B-9C8C-DD45C3AC0C27}
Francis Gregory,36058,9798,111041,2018,LibraryPt_7,,2022/08/04 22:59:02+00,88,{44070186-B4F3-4665-B377-31C16CB15DAE}
Georgetown,25890,22093,141980,2018,LibraryPt_25,,2022/08/04 22:59:02+00,89,{BEF59B29-E9F2-4812-B0B0-F632EDC38952}
Lamond-Riggs,30919,8428,109016,2018,LibraryPt_18,,2022/08/04 22:59:02+00,90,{C4AAAD10-22F8-4C08-9283-437ECCA0E4C2}
Library Express,24112,12084,105023,2018,,,2021/07/16 00:26:09+00,91,{F574131B-91A4-4255-9F0F-F92F683C2DF3}
"Martin Luther King, Jr. Memorial Library",0,0,,2018,LibraryPt_9,,2022/08/04 22:59:02+00,92,{4A036BB9-5DB8-4B1E-8EC4-8C79F9ABBC7C}
Mt. Pleasant,55438,26143,249727,2018,LibraryPt_31,,2022/08/04 22:59:02+00,93,{4BAA8109-6BCE-4BE6-BF06-A583E62AC243}
Northeast,34964,16639,147813,2018,LibraryPt_10,,2022/08/04 22:59:02+00,94,{AEA42E93-711F-4C55-932F-FF42A1814ACD}
